Text,Label
Ăn sáng không ngon,1
Ban giám đốc khu nghỉ xem lại cách tính giá cả dịch vụ và thu phụ phí thái độ nhân viên khi khách check out thì coi không ra gì,1
bộ phận sales kém,1
Bố trí trong phòng không hợp lý,1
Cách âm kém,1
Cần cải thiện,4
Cần cải thiện 1 chút để tuyệt vời hơn,4
Cần cải thiện bữa ăn sáng,4
Cần cải thiện chất lượng buffet sáng,4
Cần cải tiến để đủ chuẩn 5 sao,4
Cần cân nhắc,2
Cần cẩn trọng trong việc sắp phòng,2
"Cân nhắc giá cao và mức phí phụ thu, ăn sáng không phong phú và mau hết đồ ăn",2
chán,1
Chắc là sẽ không quay lại,1
"Chăn ga gối nệm bẩn, giường, lò xo, võng không thoải mái",1
chất lượng 2 sao,1
chất lượng dịch vụ quá tệ,1
chất lượng kém,1
chất lượng không tương xứng,1
Chất lượng nhân viên kém,1
Chi phí phòng và dịch vụ không ổn.,1
Chiếc bánh kem bị hỏng,2
cơ sở vật chất phòng ốc 5 sao nhưng cái tâm khi làm dịch vụ chưa cao,4
cực kì tệ,1
dịch vụ kém,1
Dịch vụ kém,1
dịch vụ khách sạn quá kém,1
Dịch Vụ không tương xứng,1
Dịch vụ không xứng đồng tiền,1
dịch vụ quá tệ,1
Dịch vụ tệ,1
dịch vụ tồi tệ và khủng khiếp,1
"Dọn phòng không kỹ, xử lý vấn đề chậm.",1
dối trá và coi thường khách hàng,1
đáng ra với tiếng tăm như vậy thì nên làm tốt hơn,1
Đánh giá không được 5 sao,2
đặt phòng view biển nhưng phòng view công trình đang xây dựng,2
Đi nghỉ dưỡng nhưng vác thêm bực bội vào trong mình,1
đón sinh nhật tại amiana quá tệ,1
Đông khách Trung Quốc quá,2
Giá đắt so với chất lượng,1
Giá đắt so với dịch vụ,1
"Giá hơi mắc so với tiện nghi khách sạn, cách âm kém",1
Hệ thống nước nóng hoạt động không tốt,2
Hơi mất vui,2
Hơi thất vọng,2
kém,1
khá tệ,1
khách sạn 5 sao nhưng hành xử rất lạ hoàn toàn thất vọng,2
Khách sạn âm u và cũ kỹ,1
Khách sạn chất lượng kém,1
Khách sạn có nhiều vấn đề như thế này đấy.,2
khách sạn có view đẹp nhưng dịch vụ không tốt,2
"Khách sạn cũ, nhân viên phục vụ kém",1
Khách sạn không tương xứng với đáng giá 4 sao,1
khách sạn quá tệ,1
Khách sạn quá tệ so với giá tiền,1
khách sạn rất tệ,1
khách sạn tuyệt vời có 1 nhân viên phục vụ tồi,1
không chuyên nghiệp,1
Không còn tốt như xưa,2
"Không đáng giá tiền, thiếu các tiện nghi trong phòng và không giống hình ảnh cung cấp",1
không được thoải mái,1
không được tốt,1
Không hài lòng,1
Không hài lòng,1
"Không hài lòng lắm vì hình ảnh trên đặt trước không giống thực tế phòng tôi đã ở, tên gọi cũng khác.",1
Không hài lòng về lễ tân,1
Không hẳn như mong đợi,2
Không mấy vui vẻ,1
Không nên ở,1
Không như mong đợi,1
Không phải lúc nào ở khách sạn 5 sao thì cũng có trải nghiệm tốt nhất,1
không thật sự tốt,1
Không thích nơi này,1
Không thoải mái lắm,1
không tin vào mắt mình đây là khách sạn năm sao,1
không trung thực dịch vụ chăm sóc khách hàng tồi tệ,1
Không truy cập được vào Wifi.,1
không uy tín,1
Không xứng với danh hiệu 5 sao,1
"không xứng với giá tiền, thức ăn sáng quá dở",1
"khung cảnh còn ổn, đồ ăn sáng nghèo nàn, quản lý và nhân viên quá tệ khách không được tôn trọng",1
Khủng khiếp,1
kinh khủng tồi tệ,1
kinh tởm về dịch vụ,1
Kỳ nghỉ hơi khó chịu,1
lễ tân không chuyên nghiệp,1
lễ tân thiếu thân thiện phòng ốc bình thường giá chát khách sạn 4 sao nước hồ bơi lạnh như quỷ,1
Mất đồ khi dọn phòng,1
mất niềm tin vào vinpearl hotel,1
mất tiền tại vinpearl nha trang resort bay,1
Mất tiền trông xe qua đêm,1
mình đã bị nhận phòng phòng chưa dọn với toilet chưa dội và dơ,1
mọi thứ đều ổn trừ khách sạn,1
món ăn rất tệ,1
một đi không trở lại,1
"Nhân viên ít có nụ cười, dép không vệ sinh.",1
"Nhân viên không tốt lắm, dịch vụ hơi khó khăn.",1
nhân viên không tốt và tiện nghi không đủ,1
nhân viên không trung thực,1
"Nhân viên lễ tân hơi chảnh, hồ bơi không có người trực và không được sạch sẽ",1
Nhân viên lễ tân mặt luôn kên kên,1
"Nhân viên mất lịch sự, khinh thường khách",1
"Nhân viên nghiệp vụ còn rất kém, khi đặt trên Agoda cảm
giác khó chịu ra mặt.",1
Nhân viên phục vụ tồi tệ,1
Nhân viên rất đáng thất vọng,1
nhân viên xem thường khách hàng,1
những trải nghiệm quá đáng sợ,1
"nói chung Đà Lạt có nhiều sự lựa chọn về chỗ nghỉ, nên chắc chắn là không quay lại nữa",1
"Nói chung là ổn định trong tầm giá, còn dịch vụ đạt 4 sao thì chưa",2
ồn ào,1
"Ồn ào vì phòng cách âm quá kém, các phòng bên cạnh gây ồn ào ban đêm không thể ngủ được, quạt thông gió nhà vệ sinh là quạt trung tâm và ngưng hoạt động vào buổi tối gây bất tiện khi dùng vì không tự mở được",1
"Phòng áp mái nhỏ, bị cụng đầu",1
phòng bẩn nhân viên thờ ơ,1
Phòng bị mốc,1
Phòng cách âm không tốt lắm,2
Phòng cách âm rất kém,1
"Phòng cách âm tệ, nhân viên lười biếng không hiếu khách",1
Phòng cũ,1
"Phòng cũ, cách âm kém và nhiều muỗi",1
Phòng hơi bí,2
Phòng khách sạn nhỏ,1
Phòng không cách âm ,1
"Phòng không cách âm, các phòng khác nói chuyện hay làm gì đều nghe được hết.",1
Phòng không cảm giác riêng tư,1
"phòng không có view như trên hình ảnh, mở cửa là vách tường, nhân viên phục vụ bình thường, phòng sạch sẽ, mở cửa 24 giờ cho khách",2
phòng không đẹp không có điều hòa,1
"Phòng không như hình, cây to chắn mất view",1
"Phòng không như hình,nhân viên khó chịu, tiếp tân không tốt, ăn sáng tệ",1
phòng không tốt,1
Phòng ốc bố trí không hợp lý,1
Phòng ở dơ bẩn không tiện nghi,1
phòng tầng hầm ẩm thấp ồn ào,1
phòng tiêu chuẩn tầng hầm cực tệ nội thất thua nhà nghỉ bình dân,1
Phụ phí giặt ủi không hợp lý,1
Phục vụ chưa tốt,2
Nhân viên không nhiệt tình lắm,1
Phục vụ tệ,1
quá chán,1
Quá tải và cần chuyên nghiệp hơn,1
quá tệ,1
quá tệ cho 1 khách sạn 5 sao,1
quá tệ không quay lại,1
quá tệ phòng ổn nhưng máy bơm ngay trên đầu ổn alo nhân viên không giải quyết và không nghe điện thoại,1
quá tệ thuê villa mà không cho sử dụng dịch vụ,1
quá tệ tôi và vợ không cảm thấy thoải mái,1
rất không hài lòng,1
rất ồn,1
rất tệ,1
rất thất vọng về khách sạn này,1
Resort chất lượng quá kém,1
"Resort rất cũ, chỉ tương đương 4 sao, mình sẽ không trở lại hay giới thiệu cho người thân và bạn bè.",1
"Sau thời gian dài, tình hình nhân viên điển hình là
Tiếp tân và Phục Vụ vẫn không khá lên nổi.",1
Sẽ không quay trở lại,1
sự thất vọng cực lớn,1
Tệ,1
thái độ coi thường khách hàng,1
Thái độ nhân viên chưa tốt,1
thái độ nhân viên phục vụ không ra gì,1
thái độ phục vụ của nv lễ tân không chấp nhận được phòng ốc không đủ tiêu chuẩn 4,1
thật kinh khủng và không thể chấp nhận,1
thật kinh khủng và không thể chấp nhận được lần thứ 2 ghé vinpearl đã hy vọng sẽ k có chuyện không vui như đợt trước nhưng vẫn như vậy k thay đổi,1
Thất vọng,1
Thất vọng về Sheraton,1
Thất vọng với nhân viên lễ tân,1
thủ tục nhận phòng rập khuôn thiếu linh động và cực kỳ tốn thời gian,1
thức ăn tại resort tệ không phong phú,1
Tín hiệu tivi yếu,1
tôi bị mất ngủ và giờ về tới sài gòn vẫn bị ám ảnh bởi tiếng rên la ấy,1
tôi cảm thấy bị xúc phạm khi cùng gia đình trải nghiệm dịch vụ tại đây,1
trải nghiệm chưa thật sự tốt ở đây,1
trải nghiệm cực kỳ tồi tệ x 1000 lần,1
trải nghiệm không như mong đợi,1
Trải nghiệm không tốt,1
trải nghiệm tệ tại park lounge sài gòn nhân viên thái độ,1
vận hành dịch vụ tệ,1
villa không như mong đợi,1
Vô cùng thất vọng,1
xếp phòng cẩu thả,1
"Bình thường, khá xa trung tâm, đường đèo dốc nguy hiểm,
 phòng tầng hầm bí view, nóng, ồn, đắt và khó ở dài ngày.",1
Chất lượng dịch vụ không tương xứng,1
Chất lượng dịch vụ và cơ sở vật chất chấp nhận được.,1
Chất lượng giảm dần theo năm tháng,1
Chỉ có phong cảnh là đẹp,1
Chưa hài lòng,1
Chưa thực sự hài lòng,1
Chưa tương xứng với 5 sao,1
Chưa xứng đáng 5 sao,1
Có thể chấp nhận được,1
Cơ sở bị hư,1
Bữa sáng tệ,1
"Cảnh đẹp, thất vọng với thiết kế",2
Cảnh quan đẹp nhưng dịch vụ không tốt,2
Cần cải thiện nhiều hơn,1
Cần cải thiện wifi và sóng điện thoại,1
"Dịch vụ xe đưa đón trong resort chờ quá lâu,lễ tân làm thủ tục chưa thực sự thân thiện, wifi chán",1
"Đi quá nhiều không thấy thay đổi, không còn hứng thú.",1
"Địa điểm tốt, cảnh đẹp nhưng thủ tục trả phòng tệ",2
Địa điểm tuyệt vời nhưng chất lượng phục vụ kém,2
Đường đi đến khách sạn rất khó tìm,1
"Địa điểm tốt, cảnh đẹp nhưng Check out tệ",2
Khách sạn có nhiều vấn đề như thế này đấy.,1
"Khách sạn có view đẹp nhưng còn nhiều hạn chế, mong chủ khách sạn đọc được để cải thiện.",1
Khách sạn dễ thương nhưng sàn gỗ kêu quá,2
Khách sạn đẹp dịch vụ tốt nhưng hơi buồn,2
Khách sạn đẹp nhưng phục vụ chưa tốt,2
"Khách sạn đẹp, gần trung tâm nhưng đồ ăn sáng hơi ít",2
Khách sạn tạm ổn nhưng cũ,2
"Khách sạn tương đối,nhưng đồ ăn nhà hàng chưa ngon, nhân viên vui vẻ",2
"không còn ấn tượng như vài lần trước đây , cả gia đình mình từng ở Terracotta này.",1
"Không đa dạng, nếu được đi lại sẽ đi buổi tối.",1
Không đề xuất,1
Không gian đẹp nhưng thái độ nhân viên ở quầy lễ tân hơi tệ,2
Mắc nhưng đáng tiền,4
Mọi thứ đều ổn trừ hồ bơi,2
Mọi thứ đều tuyệt vời ngoại trừ vấn đề cách âm phòng ngủ.,2
Mọi thứ Ok trừ bãi đỗ xe cho khách,2
Một kì nghỉ khá ổn.,4
Một trải nghiệm mới vui vẻ nhưng chưa thật xuất sắc như mình mong đợi.,4
Nên suy nghĩ khi đặt phòng tại đây,1
Phí phụ thu không hề được thông báo trước,1
"Phong cảnh đẹp, yên tĩnh, nhà hàng không ngon lắm, xe điện đợi lâu",2
Phòng chất lượng trung bình,2
Phòng hiện đại nhưng dịch vụ chưa tốt,2
"Phòng sạch, dọn kĩ lưỡng nhưng dịch vụ và ăn uống không đặc sắc",2
"Phòng view ổn, nhiều khách Trung Quốc, hơi ồn ào , bể bơi không đẹp, vị trí tốt, nhân viên lễ tân cũng bình thường, chưa nhiệt tình lắm",2
Quá Tuyệt nhưng không có wifi,2
Resort đẹp nhưng chất lượng chưa xứng 5 sao,4
Resort rất đẹp nhưng không gây được thiện cảm,2
"Tạm được, không ấn tượng gì",2
"Tạm được, tuy nhiên âm nhạc quá lớn tới khuya gây ảnh hưởng nghỉ ngơi.",2
Tất cả đều rất tuyệt nhưng thiếu tiện nghi,2
